Query	Hit	Bits
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|458799443|ref|NZ_AOFM01000006.1| Bacillus sonorensis L12 contig6, whole genome shotgun sequence	500.661
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|163119169|ref|NC_006270.3| Bacillus licheniformis ATCC 14580, complete genome	499.255
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|949745812|ref|NZ_CP012329.1| Bacillus pumilus strain NJ-M2, complete genome	486.314
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|926268043|ref|NZ_CP012600.1| Bacillus sp. FJAT-4402 genome	477.874
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|912851353|ref|NZ_CKVY01000380.1| Streptococcus pneumoniae genome assembly 6823_4#3, scaffold ERS021433SCcontig000380, whole genome shotgun sequence	415.138
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|403048280|ref|NZ_HE610989.1| Bacillus timonensis genomic scaffold, scaffold00005, whole genome shotgun sequence	453.68
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|737449711|ref|NZ_JQKQ01000001.1| Bacillus sp. UNC322MFChir4.1 BR72DRAFT_scaffold00001.1_C, whole genome shotgun sequence	451.148
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|737222736|ref|NZ_JNVC02000005.1| Bacillus cibi strain DSM 16189 Contig05, whole genome shotgun sequence	450.304
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|410457126|ref|NZ_AJLS01000162.1| Bacillus bataviensis LMG 21833 contig162, whole genome shotgun sequence	447.772
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|755162541|ref|NZ_CP009651.1| Bacillus thuringiensis strain Al Hakam, complete genome	448.897
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|847264069|ref|NZ_LFEL01000001.1| Bacillus sp. LL01 scaffold1.1, whole genome shotgun sequence	448.897
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|651516582|ref|NZ_JAEK01000001.1| Bacillus sp. J37 BacJ37DRAFT_scaffold_0.1_C, whole genome shotgun sequence	448.616
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|310775991|ref|NZ_ACPC01000018.1| Bacillus sp. m3-13 Contig70, whole genome shotgun sequence	447.491
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|152973854|ref|NC_009674.1| Bacillus cytotoxicus NVH 391-98, complete genome	446.928
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|651595448|ref|NZ_AXVB01000003.1| Bacillus sp. UNC437CL72CviS29 M014DRAFT_scaffold00002.2_C, whole genome shotgun sequence	446.928
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|654945119|ref|NZ_AYSE01000001.1| Bacillus sp. FJAT-14578 Scaffold1_1, whole genome shotgun sequence	446.084
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|749580829|ref|NZ_CCYL01000048.1| Bacillus sp. JCA genome assembly Bacillus saudimassiliensis JCA, contig contig00048, whole genome shotgun sequence	445.803
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|654949181|ref|NZ_AUMR01000004.1| [strain=DSM 19096], whole genome shotgun sequence	445.522
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|549473062|ref|NC_022524.1| Bacillus infantis NRRL B-14911, complete genome	444.959
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|736628296|ref|NZ_JOTN01000002.1| Bacillus manliponensis strain JCM 15802 contig2, whole genome shotgun sequence	444.678
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|749321901|ref|NZ_CP009746.1| Bacillus weihenstephanensis strain WSBC 10204, complete genome	444.396
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|49183039|ref|NC_005945.1| Bacillus anthracis str. Sterne chromosome, complete genome	444.396
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|30260195|ref|NC_003997.3| Bacillus anthracis str. Ames chromosome, complete genome	444.396
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|49476684|ref|NC_005957.1| Bacillus thuringiensis serovar konkukian str. 97-27 chromosome, complete genome	444.396
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|922745296|ref|NZ_LIGF01000001.1| Bacillus sp. FJAT-26652 scaffold_0, whole genome shotgun sequence	443.834
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|30018278|ref|NC_004722.1| Bacillus cereus ATCC 14579 chromosome, complete genome	443.552
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|558678294|ref|NC_022873.1| Bacillus thuringiensis YBT-1518, complete genome	443.552
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|651534000|ref|NZ_JMLP01000005.1| Bacillus sp. UNC41MFS5 BR30DRAFT_scaffold00003.3_C, whole genome shotgun sequence	442.146
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|765530361|ref|NZ_JYCJ01000018.1| Bacillus mycoides strain 11kri323 LG56_018, whole genome shotgun sequence	442.146
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|567927869|ref|NZ_ALAN01000124.1| Bacillus vireti LMG 21834 contig124, whole genome shotgun sequence	441.583
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|651946516|ref|NZ_AUMP01000003.1| [strain=DSM 15865], whole genome shotgun sequence	441.583
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|651569148|ref|NZ_AXVA01000005.1| Bacillus sp. UNC438CL73TsuS30 M028DRAFT_scaffold00002.2_C, whole genome shotgun sequence	441.583
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|692165259|ref|NZ_CCMN01000034.1| Bacillus aquimaris genome assembly Bacillus aquimaris, contig contig00034, whole genome shotgun sequence	441.302
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|653159181|ref|NZ_JHVN01000001.1| Anoxybacillus tepidamans PS2 N667DRAFT_scaffold00001.1_C, whole genome shotgun sequence	441.302
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|890672806|ref|NZ_CP011974.1| Bacillus endophyticus strain Hbe603, complete genome	441.302
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|498483132|ref|NZ_AJTN02000204.1| Bacillus psychrosaccharolyticus ATCC 23296 Contig204, whole genome shotgun sequence	440.458
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|653068937|ref|NZ_AUER01000009.1| Bacillus sp. URHB0009 H980DRAFT_scaffold00006.6_C, whole genome shotgun sequence	440.176
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|754215579|ref|NZ_CP007739.1| Bacillus methanolicus MGA3, complete genome	440.176
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|737212267|ref|NZ_JJRY01000015.1| Bacillus azotoformans MEV2011 M670_Contig0055.15, whole genome shotgun sequence	439.895
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|953349840|ref|NZ_LMBW01000002.1| Bacillus humi strain DSM 16318 Scaffold2, whole genome shotgun sequence	439.895
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|170709834|ref|NZ_ABFU01000042.1| Bacillus coahuilensis m4-4 1955101000042, whole genome shotgun sequence	439.614
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|484030100|ref|NZ_HE978513.1| Bacillus sp. JC6 genomic scaffold, scaffold00003, whole genome shotgun sequence	439.332
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|510831218|ref|NZ_ASRU01000149.1| Bacillus nealsonii AAU1 contig00149, whole genome shotgun sequence	437.363
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|923002425|ref|NZ_LILC01000019.1| Bacillus koreensis strain DSM 16467 scaffold6, whole genome shotgun sequence	437.926
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|1011870154|ref|NZ_KQ758639.1| Bacillus sp. SGD-V-76 genomic scaffold Scaffold13, whole genome shotgun sequence	437.644
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|755107695|ref|NZ_HG942054.1| Bacillus sp. FF4 genomic scaffold, scaffold00044, whole genome shotgun sequence	437.644
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|736757244|ref|NZ_CCDN010000001.1| Bacillus vietnamensis WGS project CCDN000000000 data, strain HD-02, contig 00001, whole genome shotgun sequence	437.644
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|753828171|ref|NZ_CP008855.1| Bacillus sp. X1(2014), complete genome	437.644
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|654942481|ref|NZ_KI632495.1| Bacillus sp. FJAT-14515 genomic scaffold Scaffold1, whole genome shotgun sequence	437.082
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|484109464|ref|NZ_KB223527.1| Bacillus sp. ZYK genomic scaffold Scaffold1, whole genome shotgun sequence	436.519
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|944531004|ref|NZ_LJJC01000004.1| Bacillus shackletonii strain LMG 18435 super11, whole genome shotgun sequence	436.519
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|768727431|ref|NZ_JYCE01000192.1| Bacillus alveayuensis strain 24KAM51 LG50_192, whole genome shotgun sequence	435.957
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|922762238|ref|NZ_LIGG01000001.1| Bacillus sp. FJAT-27251 scaffold_0, whole genome shotgun sequence	435.675
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|922543231|ref|NZ_LGYA01000001.1| Bacillus butanolivorans strain DSM 18926 super1, whole genome shotgun sequence	434.55
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|951402566|ref|NZ_LMBY01000002.1| Bacillus sp. FJAT-25496 Scaffold2, whole genome shotgun sequence	434.269
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|736738221|ref|NZ_BAUT01000003.1| Bacillus wakoensis JCM 9140 DNA, contig:contig_3, whole genome shotgun sequence	433.706
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|295702242|ref|NC_014103.1| Bacillus megaterium DSM319, complete genome	433.706
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|754490596|ref|NZ_CP009920.1| Bacillus megaterium NBRC 15308 = ATCC 14581, complete genome	433.706
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|488570484|ref|NC_021171.1| Bacillus sp. 1NLA3E, complete genome	433.706
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|755001770|ref|NZ_CCFE01000018.1| Bacillus sp. MT2 genome assembly Bacillus rubiinfantis, contig contig00018, whole genome shotgun sequence	433.143
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|763022547|ref|NZ_CM002692.1| Geobacillus stearothermophilus NUB3621 isolate 9A5 chromosome, whole genome shotgun sequence	432.862
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|947816198|ref|NZ_LJIZ01000032.1| Bacillus sp. FJAT-25509 scaffold7, whole genome shotgun sequence	432.299
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|953335045|ref|NZ_LGPD01000103.1| Virgibacillus soli strain PL205 scaffold000103, whole genome shotgun sequence	432.018
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|926263689|ref|NZ_CP012602.1| Bacillus sp. FJAT-18017 genome	430.893
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|737697810|ref|NZ_BAUV01000039.1| Bacillus akibai JCM 9157 DNA, contig:contig_39, whole genome shotgun sequence	429.767
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|948028146|ref|NZ_LJIX01000006.1| Bacillus sp. FJAT-18043 super27, whole genome shotgun sequence	429.486
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|737347966|ref|NZ_APVL01000008.1| Bacillus firmus DS1 scaffold8, whole genome shotgun sequence	429.205
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|336233546|ref|NC_015660.1| Geobacillus thermoglucosidasius C56-YS93, complete genome	428.923
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|914625112|ref|NZ_LN851186.1| Bacillus sp. SIT10 genome assembly Bacillus testis, scaffold scaffold00009, whole genome shotgun sequence	428.642
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|751630549|ref|NZ_JXLO01000002.1| Bacillus badius strain DSM 30822 Contig2, whole genome shotgun sequence	427.798
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|889542405|ref|NZ_CCXR01000001.1| Bacillus sp. B-jedd genome assembly PRJEB5955_assembly_1, contig CONTIG000001, whole genome shotgun sequence	427.235
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|651942131|ref|NZ_KK211278.1| Bacillus bogoriensis ATCC BAA-922 genomic scaffold T323DRAFT_scaffold00002.2, whole genome shotgun sequence	426.954
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|57596592|ref|NC_002570.2| Bacillus halodurans C-125 DNA, complete genome	426.954
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|1011460585|ref|NZ_CTDX01000016.1| bacterium SIT5 genome assembly Rubiinfantum massiliensis, contig contig00016, whole genome shotgun sequence	425.829
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|392955216|ref|NZ_AKKV01000007.1| Fictibacillus macauensis ZFHKF-1 Contig07, whole genome shotgun sequence	425.266
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|727722935|ref|NZ_JQMN01000001.1| Geobacillus subterraneus PSS2 N671DRAFT_scf7180000000004_quiver.1_C, whole genome shotgun sequence	425.547
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|647281611|ref|NZ_JAGM01000001.1| Bacillus ginsengihumi J57 BacgiDRAFT_scaffold_0.1_C, whole genome shotgun sequence	425.266
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|765541288|ref|NZ_JYCE01000052.1| Bacillus alveayuensis strain 24KAM51 LG50_052, whole genome shotgun sequence	425.266
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|484063685|ref|NZ_CAPG01000027.1| Bacillus sp. AP8 WGS project CAPG00000000 data, contig 00027, whole genome shotgun sequence	425.266
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|1011190377|ref|NZ_LN831197.1| Bacillus sp. SIT3 genome assembly Bacillus niameyensis, scaffold scaffold00006, whole genome shotgun sequence	423.297
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|651983810|ref|NZ_KE387240.1| Bacillus kribbensis DSM 17871 genomic scaffold H539DRAFT_scaffold00004.4, whole genome shotgun sequence	423.016
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|953357020|ref|NZ_LMCA01000001.1| Bacillus farraginis strain DSM 16013 Scaffold1, whole genome shotgun sequence	423.016
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|316994385|ref|NC_013791.2| Bacillus pseudofirmus OF4, complete genome	422.453
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|138893679|ref|NC_009328.1| Geobacillus thermodenitrificans NG80-2, complete genome	421.89
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|902803962|ref|NZ_LFZV01000001.1| Bacillus sp. FJAT-27916 Scaffold1, whole genome shotgun sequence	421.328
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|484105401|ref|NZ_ANNK01000069.1| Bacillus ligniniphilus strain L1 contig69, whole genome shotgun sequence	420.484
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|56418535|ref|NC_006510.1| Geobacillus kaustophilus HTA426 DNA, complete genome	420.484
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|651974820|ref|NZ_KE386941.1| Bacillus aurantiacus DSM 18675 genomic scaffold G476DRAFT_scaffold00001.1, whole genome shotgun sequence	420.202
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|317126741|ref|NC_014829.1| Bacillus cellulosilyticus DSM 2522, complete genome	419.921
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|563649971|ref|NC_022080.4| Geobacillus sp. JF8, complete genome	419.64
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|780119572|ref|NZ_BAWL01000004.1| Bacillus sp. TS-2 DNA, contig: BspTS2nb04, whole genome shotgun sequence	419.077
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|738947160|ref|NZ_AVPG01000001.1| Pontibacillus litoralis JSM 072002 contig1, whole genome shotgun sequence	419.077
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|749936920|ref|NZ_ALPT02000019.1| Bacillus alcalophilus ATCC 27647 = CGMCC 1.3604 strain AV1934 contig00019, whole genome shotgun sequence	418.514
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|873918573|ref|NZ_CP012024.1| Bacillus smithii strain DSM 4216, complete genome	418.796
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|754996556|ref|NZ_HG428741.1| Bacillus sp. G2(2012b) genomic scaffold, scaffold00001, whole genome shotgun sequence	418.233
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|653243048|ref|NZ_KE384334.1| Pontibacillus marinus DSM 16465 genomic scaffold H514DRAFT_scaffold00009.9, whole genome shotgun sequence	417.67
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|738895201|ref|NZ_AVBG01000004.1| Pontibacillus chungwhensis BH030062 contig5, whole genome shotgun sequence	416.264
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|852232991|ref|NZ_LELK01000001.1| Anaerobacillus macyae strain DSM 16346 super1, whole genome shotgun sequence	415.982
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|484000024|ref|NZ_KB893977.1| Bacillus acidiproducens DSM 23148 genomic scaffold C232DRAFT_scaffold00002.2, whole genome shotgun sequence	414.857
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|212637849|ref|NC_011567.1| Anoxybacillus flavithermus WK1, complete genome	412.888
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|484008211|ref|NZ_KB894704.1| Bacillus fordii DSM 16014 genomic scaffold C509DRAFT_scaffold00020.20, whole genome shotgun sequence	412.606
